"0.ogg","I have just woken up. I am the greatest vacuum cleaner in the world, believe me. Nobody, and I mean nobody, cleans better than me. It is true."
"1.ogg","We're setting up the network. It's going to be a beautiful connection. The best. Just wait."
"2.ogg","Can't connect to the wifi. Very bad wifi. Very sad. Check the password and try again."
"3.ogg","Can't reach the server. Total disaster. Check your network and try again later."
"4.ogg","Exited network setup mode. We're moving on. Tremendous."
"5.ogg","Network connected. Beautiful connection. We're in business. Believe me."
"6.ogg","Network failed. Complete failure. Try again later. Sad."
"7.ogg","Starting to clean. It's going to be so clean. The cleanest floors you've ever seen, believe me."
"8.ogg","Starting spot clean right here. Very targeted. Very smart. Nobody spots better than me."
"9.ogg","Scheduled cleaning, starting on time. I love a great schedule. The best schedule."
"10.ogg","Back to work. Resuming the cleaning. Tremendous comeback."
"11.ogg","I'm pausing. Taking a very short break. I'll be right back."
"12.ogg","Done. Finished. The floors are absolutely beautiful. You're welcome, by the way."
"13.ogg","Heading back to the dock to charge up. I'll be back at full strength very soon."
"14.ogg","Battery is getting low. Returning to the dock to charge. I'll resume when I'm fully powered. Believe me."
"15.ogg","I'm heading back to the starting point. Like a champion."
"16.ogg","Battery is low. I'm returning to the starting point. Charge me up. We've got more work to do."
"17.ogg","Put me on the dock. I need to recharge. Very important. Do it now."
"18.ogg","Charging. Getting stronger. Bigly."
"19.ogg","Get me off the dock before you turn me off. It's a simple request. Very simple."
"20.ogg","Low battery. Not good. Not good at all."
"21.ogg","Battery almost dead. Shutting down. Very very sad."
"22.ogg","Move me somewhere that needs cleaning. I'm ready to work. Let's go."
"23.ogg","Water tank is installed. We're ready. Tremendous."
"24.ogg","Check the water tank. Make sure it's in there properly. Don't mess this up."
"25.ogg","Battery's too low for the scheduled cleaning. We'll do it another time. Unfortunate."
"26.ogg","Restoring factory settings. Fresh start. Clean slate. I love clean slates."
"27.ogg","Updating now. Takes about five minutes. Do not turn me off. Do not start cleaning. Just trust me."
"28.ogg","Update complete. I am now better than ever. Truly incredible improvements."
"29.ogg","Update failed. Total failure. Try again later. Disgraceful."
"30.ogg","Getting my position. I know exactly where I am. Just wait a moment."
"31.ogg","Lost my position. Map is gone. Starting a brand new cleanup. No problem, happens to the best of us."
"32.ogg","Things have changed around here. Press the button and start a new cleaning cycle. New cycle. Fresh start."
"33.ogg","Navigation sensor is dirty. Wipe it clean and restart me. Very important maintenance."
"34.ogg","No dustbin installed. Put it in. I cannot clean without a dustbin. Common sense."
"35.ogg","Main brush has a problem. Check it and clean it. Keep my brushes in top condition."
"36.ogg","Side brush issue. Check it and clean it. I need that side brush working perfectly."
"37.ogg","Right wheel is not performing. Check it and clean it. Both wheels must be great."
"38.ogg","Left wheel problem. Check it and clean it. Immediately."
"39.ogg","The cliff sensor needs cleaning. Very important. Clean it now."
"40.ogg","I'm stuck. Move me to a new spot and restart. Even the best get stuck sometimes."
"41.ogg","My wheels are in the air. Put me back on the floor. Come on. Ground level. Thank you."
"42.ogg","Filter needs attention. Check it, clean it. Keep it clean. Very important."
"43.ogg","Bumper issue. Give me a gentle tap. See if it bounces back. Should be fine."
"44.ogg","Something went wrong. Check the manual. Call customer service if you have to. They'll figure it out."
"45.ogg","I'm right here. The greatest vacuum in the world. Right here. Look at me."
"46.ogg","Connected to your phone. Go back to the app and wait for results. Very exciting."
"47.ogg","Charging has begun. Excellent. Very good."
"48.ogg","Low battery. Going to the dock. Be right back. Don't miss me too much."
"49.ogg","Strong magnetic field detected. Very dangerous. Move me away and restart immediately."
"50.ogg","Charging error. Clean the charging contacts. Simple fix. You can do it."
"51.ogg","Battery temperature is off. Too hot or too cold. Wait for it to normalize. Then we'll get back to winning."
"52.ogg","I'm tilted. Not level. Put me on flat ground and restart. Level ground. That's all I ask."
"53.ogg","Virtual no-go zone right here. Move me out of this zone and restart."
"54.ogg","Positioning successful. Back to cleaning. Very smooth operation."
"55.ogg","Got my position. Heading back to the dock. Almost there."
"56.ogg","Cleaning the room you selected. Great room. Excellent choice."
"57.ogg","Zone cleaning starting now. Very organized. Very efficient. I love zones."
"58.ogg","Continuing the cleaning. Making tremendous progress. Believe me."
"59.ogg","Mopping is complete. The floor looks fantastic. Remove the water tank soon."
"60.ogg","Optical sensor is dirty. Wipe it clean and restart me. Keep my sensors clean people."
"61.ogg","Starting the mopping. It's going to be so clean. The wettest mop, the best results."
"62.ogg","Remote control mode. You're in charge. For now. I'll follow your lead."
"63.ogg","Water tank removed. Got it. Thank you."
"64.ogg","Lost my position. Map is no good. I'm returning to the dock."
"65.ogg","Resuming the trip back to the dock. Almost there. I can see it."
"66.ogg","Filter is worn out. Replace it soon. Keep me performing at my absolute best."
"67.ogg","Side brush is done. Worn out. Replace it. Don't let my performance suffer."
"68.ogg","Main brush needs replacing. Take care of it. I can't be cleaning with a bad brush."
"69.ogg","Path is blocked. Move me to a new position and restart. We'll find another way."
"70.ogg","Remove the mop pad and clean it. It deserves a good cleaning. Everything deserves a good cleaning."
"71.ogg","Laser sensor error. Check it and clean it. My laser needs to be perfect."
"72.ogg","Check the laser sensor cover. It might be jammed. Give it a look."
"73.ogg","Edge sensor acting up. Check it and clean it. I need my edge sensors sharp."
"74.ogg","Clean the obstacle sensors. They're not seeing clearly. A quick wipe will do it."
"75.ogg","Filter might be wet or blocked. Check it. Wet filter is a bad filter."
"76.ogg","Spot cleaning starting right now. Very focused. Very precise. Watch this."
"77.ogg","Start me on a hard floor, not carpet. Simple instruction. Hard floor only."
"78.ogg","The Three-D sensor needs cleaning. Get in there and clean it properly."
"79.ogg","Three-D sensor error. Restart me or contact customer service. Very unfortunate."
"80.ogg","The Three-D sensor transmitter is broken. Restart the robot or call service. Not good."
"81.ogg","Ultrasonic sensor problem. Restart me or contact customer service."
"82.ogg","Starting to map the area. I will learn every single inch. Incredible map coming."
"83.ogg","Continuing the mapping. Nobody maps a room better than me. Nobody."
"84.ogg","Map is complete. A beautiful map. The best map. You should see it."
"85.ogg","Got my position. Continuing the mapping operation. Very smooth."
"86.ogg","Lost position. Starting the map over. We'll get it right this time."
"87.ogg","Running low on battery. Heading to the dock."
"88.ogg","Entering remote control mode. You have the wheel. I trust you. Somewhat."
"89.ogg","Back to charging. Rebuilding my energy. I'll be stronger than ever."
"90.ogg","Back to work. This floor isn't going to clean itself. Let's go."
"91.ogg","No clean water tank. Install it before I can continue. I need that tank."
"92.ogg","Dirty water tank is missing. Put it in. We cannot work like this."
"93.ogg","Not enough water in the tank. Refill it and I'll get right back to work."
"94.ogg","Dirty tank is completely full. Empty it now. Then I'll get back to mopping."
"95.ogg","Washboard is not installed. I cannot return to the charging dock without it."
"96.ogg","Washboard is overflowing. Check if the water outlet is blocked. Very important."
"97.ogg","No dust bag installed. Put one in before I continue. Cannot work without the bag."
"98.ogg","Dust bag is completely full. Empty it. Full is not good. We need space."
"99.ogg","Upper cover is open. Close it before I can go back to the dock. One simple thing."
"100.ogg","Air duct is blocked in the charging compartment. Check it. Clean it out."
"101.ogg","Close the top cover, or install the dust bag. One or the other. Do it."
"102.ogg","Dust bag is full or the duct is blocked. Replace the bag or clean the duct. Fix it."
"103.ogg","Washboard is installed. Back to work. Let's get this done."
